accx,accy,accz
0.0094,0.2948,0.9383
0.007,0.2948,0.9392
-0.0082,0.2894,0.9373
-0.0107,0.2894,0.9397
-0.019,0.2791,0.9417
-0.0195,0.2723,0.9505
-0.0224,0.2611,0.9539
-0.0219,0.2557,0.9602
-0.0253,0.2396,0.9641
-0.02,0.2302,0.9749
-0.0165,0.22,0.9876
-0.0112,0.2132,1.0013
-0.0112,0.2034,1.0062
-0.0121,0.2009,1.0038
-0.0165,0.1946,1.0033
-0.0126,0.1941,0.9964
-0.0195,0.1936,0.9901
-0.0263,0.1936,0.9886
-0.0283,0.2024,0.9828
-0.0312,0.2107,0.9793
-0.0375,0.218,0.9734
-0.0439,0.2302,0.9671
-0.0507,0.2356,0.9666
-0.0532,0.2445,0.9573
-0.0551,0.2469,0.9558
-0.0576,0.2533,0.9534
-0.06,0.2581,0.9461
-0.062,0.2621,0.9392
-0.0644,0.2679,0.9329
-0.062,0.2689,0.9251
-0.0546,0.2645,0.9217
-0.0512,0.2616,0.9187
-0.0424,0.2601,0.9168
-0.0288,0.2518,0.9134
-0.0229,0.2454,0.9124
-0.0107,0.2435,0.9143
-0.0014,0.2371,0.9104
0.0104,0.2278,0.907
0.0192,0.2229,0.9036
0.0348,0.2112,0.9036
0.0387,0.2107,0.9036
0.0397,0.2078,0.9051
0.0455,0.2097,0.907
0.0465,0.2068,0.908
0.0441,0.2083,0.9036
0.0377,0.2117,0.9104
0.0289,0.2127,0.9134
0.0182,0.2195,0.9202
0.0148,0.22,0.9251
0.0084,0.221,0.9344
-0.0141,0.2342,0.9641
-0.0429,0.2415,0.9911
-0.0537,0.2469,1.0038
-0.0571,0.2513,1.0057
-0.0595,0.2537,1.0077
-0.0659,0.2542,1.0135
-0.0664,0.2572,1.0101
-0.0634,0.2581,1.0062
-0.0605,0.2577,1.0077
-0.0561,0.2601,0.994
-0.0546,0.2591,0.9867
-0.0449,0.2562,0.97
-0.039,0.2528,0.9598
-0.0288,0.2528,0.9436
-0.0283,0.2498,0.9329
-0.0195,0.2503,0.9207
-0.0073,0.2547,0.9085
-0.0029,0.2537,0.9026
0.006,0.2537,0.8914
0.0123,0.2562,0.8889
0.0177,0.2596,0.8787
0.0192,0.2572,0.8728
0.0211,0.2616,0.8713
0.0275,0.2596,0.8669
0.0221,0.2591,0.8659
0.0245,0.265,0.8654
0.0177,0.2684,0.8669
0.0138,0.2713,0.8689
0.0089,0.2743,0.8698
0.0031,0.2747,0.8797
0.0011,0.2835,0.8899
-0.0029,0.2835,0.8958
-0.0068,0.2855,0.8953
-0.0058,0.2914,0.9012
-0.0068,0.2928,0.906
-0.0078,0.2967,0.9085
-0.0102,0.2972,0.9095
-0.0161,0.3045,0.9002
-0.017,0.3026,0.9041
-0.0131,0.304,0.9012
-0.0126,0.3094,0.9002
-0.0175,0.3065,0.8933
-0.0151,0.3084,0.8865
-0.0146,0.3045,0.8885
-0.0165,0.305,0.8865
-0.0107,0.2992,0.8875
-0.0034,0.2972,0.8943
-0.0009,0.2938,0.8948
0.0026,0.2874,0.8982
0.0055,0.286,0.909
0.005,0.2879,0.9099
0.0021,0.286,0.9134
0.004,0.2865,0.9148
0.007,0.2918,0.9129
0.0079,0.2914,0.909
0.0099,0.2972,0.9109
0.0182,0.305,0.908
0.0172,0.306,0.9075
0.0206,0.3109,0.8992
0.026,0.3104,0.8972
0.0309,0.3143,0.8948
0.0343,0.3094,0.8963
0.0338,0.3094,0.8933
0.0446,0.3109,0.8885
0.0499,0.3109,0.8929
0.0499,0.3114,0.8919
0.049,0.3123,0.8968
0.0543,0.3138,0.8972
0.0519,0.3143,0.8968
0.0538,0.3187,0.8968
0.0548,0.329,0.9099
0.0509,0.329,0.9139
0.0499,0.3338,0.9217
0.0431,0.3324,0.928
0.0392,0.3324,0.9319
0.0372,0.3309,0.9368
0.0363,0.3265,0.9475
0.0309,0.3285,0.9485
0.0328,0.3241,0.9485
0.0324,0.3221,0.9549
0.0304,0.3221,0.9685
0.027,0.3226,0.97
0.0304,0.3167,0.9734
0.0265,0.3172,0.9813
0.0216,0.3158,0.9857
0.0167,0.3123,0.9857
0.0187,0.3104,0.9876
0.0118,0.3109,0.9891
0.0094,0.3089,0.9842
0.0026,0.3099,0.9842
0.0021,0.3138,0.9847
0.007,0.3099,0.9896
0.0045,0.3133,0.9935
0.0035,0.3104,0.9989
0.0045,0.307,1.0082
0.004,0.304,1.0121
0.0045,0.2997,1.0218
0.005,0.2962,1.0257
0.0074,0.287,1.0365
0.0148,0.2909,1.0453
0.0167,0.2894,1.0487
0.0211,0.2953,1.0492
0.0221,0.3045,1.0375
0.0294,0.3094,1.0233
0.0338,0.3207,1.0023
0.0407,0.3226,0.996
0.0402,0.3314,0.9759
0.0455,0.3348,0.9729
0.0465,0.3412,0.9612
0.047,0.3377,0.9617
0.0431,0.3416,0.9656
0.0431,0.3436,0.9833
0.0431,0.3402,0.9906
0.0416,0.3363,1.0067
0.0367,0.3211,1.0253
0.0348,0.3187,1.0365
0.0289,0.3021,1.055
0.0289,0.2992,1.0599
0.0275,0.2811,1.0785
0.0284,0.2699,1.0829
0.026,0.2664,1.0853
0.0284,0.2577,1.0746
0.0304,0.2567,1.057
0.0309,0.2547,1.0516
0.0333,0.2518,1.0404
0.0372,0.2581,1.0155
0.0333,0.266,0.9749
0.0324,0.2708,0.9627
0.0338,0.2777,0.9363
0.0333,0.2811,0.929
0.0309,0.2918,0.9236
0.0319,0.2938,0.9178
0.0314,0.2982,0.9153
0.0294,0.306,0.9217
0.0245,0.3148,0.9339
0.0172,0.3148,0.9475
0.0167,0.3055,0.9671
0.0123,0.3045,0.9695
0.0084,0.2987,0.9759
0.0065,0.2889,0.9857
0.006,0.2679,1.0038
0.0074,0.2616,1.0091
0.0094,0.2533,1.0218
0.0094,0.2406,1.0311
0.0133,0.2381,1.036
0.0123,0.2224,1.0384
0.0231,0.2117,1.0443
0.0236,0.2,1.0487
0.0294,0.1956,1.0497
0.0333,0.1902,1.0438
0.0436,0.1804,1.0287
0.0577,0.1741,1.0091
0.0631,0.1785,0.9906
0.068,0.178,0.9798
0.0739,0.1839,0.9598
0.0753,0.1902,0.9471
0.0856,0.1985,0.9217
0.0851,0.2014,0.9207
0.0822,0.2092,0.9104
0.087,0.2215,0.8938
0.0831,0.2396,0.8894
0.0792,0.2474,0.888
0.0743,0.2581,0.8826
0.0685,0.2625,0.8841
0.069,0.2655,0.8894
0.0573,0.2625,0.8826
0.0553,0.2684,0.886
0.0563,0.2699,0.8948
0.0587,0.2747,0.8992
0.0626,0.2738,0.9134
0.0656,0.2762,0.9231
0.0685,0.2723,0.9295
0.0665,0.2704,0.9505
0.069,0.2655,0.9573
0.0709,0.2621,0.9739
0.069,0.2577,0.9798
0.069,0.2533,0.9862
0.0656,0.2503,0.9916
0.0621,0.2406,0.9984
0.0612,0.2385,1.0018
0.0607,0.2351,1.0082
0.0577,0.2312,1.0062
0.0568,0.2263,1.0057
0.0553,0.2234,1.0043
0.0524,0.2244,1.0052
0.0509,0.221,1.0013
0.0548,0.2195,1.0023
0.0538,0.2151,0.9974
0.0543,0.219,0.9916
0.0475,0.2141,0.9876
0.049,0.218,0.9828
0.0543,0.2141,0.9788
0.0509,0.2132,0.9729
0.0509,0.2122,0.9666
0.0421,0.2166,0.9539
0.0421,0.2254,0.9427
0.0372,0.2307,0.9329
0.0387,0.2356,0.9285
