accx,accy,accz
-0.0121,0.0935,1.1493
-0.0131,0.0905,1.143
-0.0058,0.0881,1.1259
-0.0107,0.0856,1.1166
-0.0009,0.0891,1.0927
0.0006,0.093,1.0672
0.0074,0.1008,1.0521
0.0143,0.0998,1.0379
0.0197,0.1115,1.0091
0.0226,0.1193,0.9847
0.0348,0.1232,0.949
0.0387,0.1169,0.9324
0.046,0.1159,0.9202
0.0534,0.111,0.9143
0.0568,0.1096,0.9139
0.0704,0.1032,0.9065
0.0729,0.0944,0.906
0.0792,0.0871,0.9163
0.0846,0.0788,0.9265
0.0851,0.072,0.9256
0.0846,0.0651,0.9402
0.0787,0.0588,0.9383
0.0743,0.0554,0.9412
0.0651,0.0451,0.9505
0.0704,0.0432,0.9539
0.0685,0.0446,0.9539
0.0685,0.0427,0.9524
0.0704,0.0402,0.9563
0.0758,0.0417,0.9578
0.0783,0.0461,0.9534
0.0802,0.0505,0.9568
0.0753,0.0563,0.9617
0.0763,0.0612,0.9637
0.0792,0.0676,0.9656
0.0724,0.0651,0.9617
0.0714,0.0642,0.9617
0.0773,0.0602,0.9519
0.0812,0.0622,0.9485
0.089,0.0642,0.948
0.0978,0.0661,0.9466
0.1051,0.0715,0.9529
0.1169,0.0798,0.9505
0.1232,0.0808,0.9524
0.1276,0.0783,0.949
0.1311,0.0856,0.9407
0.1369,0.091,0.9314
0.134,0.0944,0.9222
0.1379,0.0969,0.9173
0.1389,0.0983,0.9109
0.1408,0.1076,0.9007
0.134,0.1135,0.8885
0.1345,0.1198,0.8841
0.1257,0.1223,0.8737
0.1232,0.1271,0.8684
0.1208,0.1311,0.8684
0.1149,0.1331,0.861
0.0997,0.1399,0.8659
0.088,0.1384,0.8821
0.0783,0.1399,0.8841
0.0636,0.1375,0.8929
0.0514,0.1404,0.888
0.0446,0.138,0.8904
0.0402,0.1453,0.888
0.0353,0.1453,0.8899
0.0309,0.1541,0.887
0.0265,0.1565,0.8894
0.0255,0.1614,0.8889
0.0192,0.1624,0.8909
0.0255,0.1638,0.8846
0.0177,0.1673,0.8855
0.0167,0.1653,0.8938
0.0167,0.1682,0.8904
0.0211,0.1648,0.8943
0.027,0.1653,0.8919
0.0299,0.1599,0.886
0.0509,0.1555,0.8821
0.0558,0.156,0.8797
0.0626,0.1536,0.8762
0.0734,0.1497,0.8664
0.0885,0.1399,0.8694
0.0875,0.1365,0.864
0.0963,0.135,0.8674
0.0949,0.1315,0.865
0.089,0.1286,0.8625
0.0939,0.1252,0.8679
0.1022,0.1218,0.8689
0.1007,0.1223,0.8718
0.0944,0.1262,0.8713
0.1007,0.1262,0.8733
0.091,0.1262,0.8826
0.0875,0.1355,0.8846
0.0802,0.1419,0.8909
0.0646,0.1541,0.8968
0.0568,0.1604,0.9041
0.0353,0.1736,0.9114
0.0275,0.18,0.908
0.007,0.1985,0.9104
-0.0009,0.2097,0.9012
-0.0121,0.2229,0.8987
-0.0224,0.2415,0.888
-0.0366,0.2596,0.8826
-0.0405,0.2762,0.8753
-0.0468,0.283,0.8772
-0.0434,0.283,0.8762
-0.0331,0.2767,0.8802
